Gender,Year,Total16Plus,Total16to24,Ages16to19,Ages20to24,Total25Plus,Ages25to34,Ages35to44,Ages45to54,Ages55to64,Ages65Plus
Women,1979,3.62,3.19,3.03,3.52,3.90,4.04,3.97,3.84,3.75,3.12
Women,1980,3.95,3.45,3.14,3.79,4.24,4.44,4.29,4.23,4.08,3.38
Women,1981,4.28,3.71,3.52,4.09,4.69,4.89,4.77,4.59,4.43,3.71
Women,1982,4.61,3.78,3.55,4.19,5.02,5.19,5.08,4.95,4.8,3.93
Women,1983,4.8,3.82,3.55,4.26,5.23,5.44,5.31,5.19,5.07,4.16
Women,1984,4.97,3.93,3.59,4.36,5.48,5.6,5.61,5.51,5.27,4.37
Women,1985,5.13,4.01,3.61,4.56,5.73,5.79,5.91,5.76,5.46,4.43
Women,1986,5.33,4.11,3.65,4.71,5.95,5.95,6.13,5.99,5.75,4.73
Women,1987,5.6,4.22,3.71,4.89,6.16,6.14,6.35,6.28,6.03,4.85
Women,1988,5.84,4.48,3.91,5.05,6.44,6.36,6.76,6.59,6.08,5.12
Women,1989,6.11,4.69,4.1,5.23,6.78,6.68,7.1,6.9,6.38,5.14
Women,1990,6.44,4.95,4.35,5.57,7.07,7.01,7.37,7.16,6.73,5.45
Women,1991,6.75,5.08,4.64,5.71,7.34,7.19,7.73,7.61,6.95,5.76
Women,1992,6.96,5.16,4.69,5.77,7.65,7.45,7.99,7.94,7.2,5.97
Women,1993,7.12,5.27,4.73,5.96,7.87,7.61,8.16,8.18,7.56,6.18
Women,1994,7.25,5.32,4.83,5.98,8.05,7.78,8.44,8.46,7.82,6.24
Women,1995,7.46,5.49,4.94,6.09,8.17,7.92,8.63,8.72,7.93,6.45
Women,1996,7.73,5.68,5.09,6.26,8.43,8.06,8.89,8.94,8.07,6.45
Women,1997,7.94,5.95,5.42,6.55,8.75,8.2,9.14,9.26,8.31,6.83
Women,1998,8.23,6.24,5.78,6.93,9.13,8.8,9.66,9.78,8.85,7.21
Women,1999,8.64,6.6,5.98,7.22,9.53,9.1,9.83,9.95,9.33,7.5
Women,2000,9.06,7,6.23,7.8,9.89,9.69,10.03,10.18,9.84,7.87
Women,2001,9.64,7.25,6.61,8,10.2,9.94,10.44,10.85,10.39,8.14
Women,2002,9.89,7.45,6.8,8.11,10.71,10.12,10.98,11.18,10.81,8.73
Women,2003,10.08,7.59,6.85,8.19,11.01,10.51,11.17,11.79,11.05,8.84
Women,2004,10.17,7.71,6.86,8.32,11.23,10.62,11.45,11.95,11.57,9.16
Women,2005,10.31,7.8,6.92,8.5,11.58,10.86,11.84,12.13,11.86,9.82
Women,2006,10.65,7.99,7.11,8.82,11.87,11.07,12.05,12.26,12.12,9.97
Women,2007,10.98,8.15,7.41,9,12.05,11.21,12.36,12.85,12.23,10.15
Women,2008,11.49,8.43,7.71,9.16,12.48,11.72,12.89,13.16,13,10.53
Women,2009,11.76,8.58,7.82,9.19,12.76,11.96,13,13.09,13.59,11.11
Women,2010,11.83,8.62,7.91,9.08,12.88,12.04,13.12,13.5,13.68,11.18
Women,2011,11.98,8.73,7.96,9.16,13.1,12.12,13.44,13.76,14.03,11.76
Women,2012,11.99,8.78,8.02,9.17,13.17,12.15,13.46,13.8,14.36,11.84
Women,2013,12.12,8.93,8.09,9.4,13.36,12.23,13.77,13.94,14.53,12.22
Women,2014,12.18,9.14,8.29,9.77,13.5,12.25,14,14.14,14.19,12.47
Women,2015,12.56,9.54,8.75,9.95,13.92,12.89,14.13,14.8,14.77,12.66
Women,2016,13.01,10,9.07,10.25,14.23,13.08,14.75,14.97,15.1,13.02
Women,2017,13.56,10.28,9.59,11,14.83,14,14.92,15.16,15.21,13.88
Women,2018,14.06,10.93,9.91,11.68,15.04,14.64,15.22,15.2,15.62,13.77
Women,2019,14.85,11.59,10.09,12.07,15.58,15.1,15.9,15.97,16.18,14.78
Women,2020,15.22,12.12,10.81,12.98,16.5,15.93,16.95,17.07,17.04,15.03
Women,2021,16.02,13.15,11.9,14.06,17.16,16.81,17.81,17.8,17.42,15.8
Women,2022,17.18,14.78,13.01,15.04,18.18,18.09,18.76,18.59,18.2,16.81
Women,2023,18.11,15.08,13.83,15.88,19.43,19.14,19.84,19.77,19.8,17.87
Men,1979,5.65,3.90,3.19,4.64,6.69,6.38,7.12,7.10,6.59,3.56
Men,1980,6.1,4.1,3.37,4.92,7.22,6.93,7.81,7.78,7.24,3.79
Men,1981,6.57,4.31,3.64,5.11,7.78,7.33,8.3,8.49,7.88,4.21
Men,1982,6.85,4.38,3.66,5.12,8.08,7.67,8.89,8.88,8.14,4.46
Men,1983,6.92,4.38,3.67,5.05,8.31,7.74,9.22,9.16,8.74,4.75
Men,1984,7.12,4.57,3.72,5.16,8.6,7.88,9.51,9.69,8.86,4.91
Men,1985,7.33,4.68,3.75,5.23,8.85,8,9.8,9.97,9.04,4.99
Men,1986,7.59,4.79,3.82,5.43,9.02,8.03,9.99,10.15,9.54,5.18
Men,1987,7.77,4.91,3.95,5.68,9.16,8.26,10.1,10.24,9.72,5.32
Men,1988,7.91,5.03,4.14,5.79,9.38,8.41,10.22,10.69,9.74,5.52
Men,1989,8.1,5.17,4.39,6.02,9.71,8.56,10.59,10.88,10,5.9
Men,1990,8.27,5.44,4.64,6.18,9.84,8.83,10.73,11.13,10.17,6.08
Men,1991,8.59,5.58,4.74,6.23,9.98,8.94,10.98,11.71,10.08,6.22
Men,1992,8.67,5.65,4.8,6.24,10.06,9.02,10.93,12.02,10.39,6.45
Men,1993,8.86,5.75,4.87,6.33,10.18,9.1,11.16,12.15,10.96,6.71
Men,1994,9,5.88,4.98,6.56,10.29,9.1,11.5,12.1,11.06,6.64
Men,1995,9.23,6.04,5.14,6.82,10.73,9.46,11.89,12.32,11.11,6.85
Men,1996,9.52,6.17,5.25,6.99,10.78,9.7,11.91,12.4,11.15,7.04
Men,1997,9.83,6.45,5.61,7.18,11.1,9.92,12.07,12.8,11.79,6.96
Men,1998,10.06,6.91,5.98,7.78,11.72,10.22,12.48,13.04,12.22,7.74
Men,1999,10.31,7.12,6.18,8.03,12,10.84,12.78,13.68,12.21,7.86
Men,2000,10.81,7.63,6.64,8.39,12.24,10.97,13.14,13.9,12.81,8.31
Men,2001,11.32,8.01,6.9,8.92,12.88,11.58,13.92,14.25,12.95,9
Men,2002,11.64,8.05,7.02,8.88,13.05,11.89,13.96,14.4,13.38,9.78
Men,2003,11.89,8.14,7.02,9,13.25,12.01,14.13,14.93,14.09,9.79
Men,2004,12.02,8.21,7.15,9.07,13.74,12.03,14.6,15.11,14.54,9.9
Men,2005,12.16,8.42,7.21,9.2,13.91,12.17,14.88,15.13,14.79,10.04
Men,2006,12.68,8.79,7.43,9.75,14.27,12.63,15.06,16.04,15.04,10.72
Men,2007,12.95,9.13,7.77,9.96,14.75,12.83,15.17,16.15,15.45,11.01
Men,2008,13.46,9.24,7.98,10,15.03,13.47,16.02,16.82,15.9,11.5
Men,2009,13.76,9.22,8.05,9.99,15.07,13.2,16.1,16.99,16.09,12
Men,2010,13.76,9.21,8.09,9.9,15.04,13.1,15.83,16.89,16.45,11.92
Men,2011,13.8,9.23,8.16,9.9,15.11,13.18,16.03,16.88,17.07,12.85
Men,2012,13.88,9.44,8.19,9.97,15.17,13.28,16.05,16.99,17.28,13.03
Men,2013,14,9.67,8.37,10,15.27,13.42,16.21,17.17,17.28,12.88
Men,2014,14.39,9.89,8.63,10.15,15.76,14.08,16.55,17.41,17.46,13.98
Men,2015,14.67,10.03,8.97,10.64,15.86,14.17,16.48,17.55,17.99,14.15
Men,2016,14.96,10.24,9.48,11.15,16.25,14.83,17.2,18.03,18.05,14.78
Men,2017,15.2,10.99,9.88,11.88,17,15.15,17.89,18.74,18.6,14.93
Men,2018,16.01,11.74,10.15,12.18,17.76,15.87,18.44,18.99,19.56,14.9
Men,2019,16.76,12.2,10.56,13.12,18.05,16.63,19.16,19.24,19.8,15.81
Men,2020,17.75,13.08,11.6,14.08,19.18,17.56,20.1,21.05,20.15,16.75
Men,2021,18.05,14.18,12.25,14.93,19.84,18.18,20.07,20.74,21,17.64
Men,2022,19.7,15.18,13.91,16.16,20.57,19.76,21.91,22.05,21.78,19.12
Men,2023,20.16,16.12,14.87,17.13,22,20.5,22.91,22.79,23.37,19.59