Gender,Year,Total,White,Black_or_African_American,Asian,Hispanic_or_Latino_ethnicity
Total,1979,949,976,783,,764
Total,1980,926,951,749,,739
Total,1981,916,939,758,,719
Total,1982,921,945,747,,732
Total,1983,915,936,763,,731
Total,1984,913,941,754,,725
Total,1985,932,965,751,,732
Total,1986,957,989,776,,739
Total,1987,966,992,778,,736
Total,1988,958,983,781,,721
Total,1989,952,976,761,,711
Total,1990,936,964,748,,691
Total,1991,934,969,763,,684
Total,1992,942,981,764,,687
Total,1993,958,992,770,,691
Total,1994,955,990,759,,663
Total,1995,956,986,764,,657
Total,1996,953,984,753,,660
Total,1997,958,989,762,,669
Total,1998,983,1024,801,,695
Total,1999,1009,1053,818,,708
Total,2000,1025,1050,843,1094,710
Total,2001,1031,1055,849,1106,721
Total,2002,1036,1061,848,1121,722
Total,2003,1033,1060,857,1155,733
Total,2004,1034,1065,851,1147,739
Total,2005,1022,1055,816,1182,739
Total,2006,1020,1049,842,1191,739
Total,2007,1027,1058,840,1226,743
Total,2008,1027,1055,838,1225,752
Total,2009,1056,1081,859,1257,773
Total,2010,1049,1074,858,1201,751
Total,2011,1030,1056,838,1180,748
Total,2012,1024,1056,828,1227,757
Total,2013,1020,1054,827,1238,760
Total,2014,1022,1054,826,1231,767
Total,2015,1044,1077,827,1281,779
Total,2016,1060,1098,864,1301,795
Total,2017,1072,1110,850,1300,817
Total,2018,1078,1114,844,1332,827
Total,2019,1097,1130,879,1404,844
Total,2020,1160,1183,936,1545,894
Total,2021,1124,1146,902,1495,875
Total,2022,1103,1130,915,1459,857
Total,2023,1117,1138,920,1474,874
Women,1979,717,724,665,,618
Women,1980,710,717,654,,608
Women,1981,706,713,665,,613
Women,1982,729,738,662,,619
Women,1983,737,743,678,,629
Women,1984,742,751,675,,625
Women,1985,751,762,683,,623
Women,1986,776,784,704,,643
Women,1987,783,793,713,,649
Women,1988,784,791,716,,647
Women,1989,783,797,718,,642
Women,1990,786,802,700,,632
Women,1991,803,818,708,,640
Women,1992,814,829,717,,647
Women,1993,820,837,727,,653
Women,1994,816,834,708,,624
Women,1995,810,828,709,,609
Women,1996,813,833,704,,615
Women,1997,821,846,714,,606
Women,1998,857,880,752,,633
Women,1999,869,888,752,,640
Women,2000,877,893,763,973,651
Women,2001,886,903,785,974,671
Women,2002,901,932,806,964,676
Women,2003,920,945,818,997,683
Women,2004,929,947,818,994,679
Women,2005,918,936,783,1044,673
Women,2006,912,926,789,1062,669
Women,2007,907,925,787,1080,699
Women,2008,908,930,788,1071,713
Women,2009,939,956,831,1113,727
Women,2010,940,961,831,1086,713
Women,2011,932,958,811,1023,706
Women,2012,921,947,799,1027,695
Women,2013,928,949,796,1076,711
Women,2014,929,948,789,1087,708
Women,2015,937,959,794,1132,730
Women,2016,954,976,817,1149,746
Women,2017,960,991,819,1126,752
Women,2018,960,994,796,1140,751
Women,2019,982,1005,842,1226,768
Women,2020,1051,1067,901,1348,831
Women,2021,1027,1042,874,1285,809
Women,2022,998,1014,870,1285,793
Women,2023,1005,1021,889,1299,800
Men,1979,1150,1173,894,,862
Men,1980,1106,1131,862,,827
Men,1981,1097,1129,865,,810
Men,1982,1110,1143,848,,820
Men,1983,1108,1132,860,,801
Men,1984,1098,1123,849,,804
Men,1985,1103,1133,827,,802
Men,1986,1117,1155,851,,797
Men,1987,1121,1163,845,,791
Men,1988,1117,1157,866,,766
Men,1989,1117,1150,831,,752
Men,1990,1093,1123,820,,723
Men,1991,1081,1110,822,,708
Men,1992,1073,1101,814,,726
Men,1993,1065,1094,818,,722
Men,1994,1067,1119,818,,701
Men,1995,1074,1130,820,,699
Men,1996,1084,1128,802,,693
Men,1997,1103,1133,823,,707
Men,1998,1124,1156,880,,733
Men,1999,1136,1173,897,,746
Men,2000,1141,1178,907,1219,742
Men,2001,1159,1192,915,1266,761
Men,2002,1157,1196,893,1288,768
Men,2003,1158,1192,925,1287,773
Men,2004,1156,1186,922,1300,778
Men,2005,1133,1166,878,1295,768
Men,2006,1129,1157,898,1340,767
Men,2007,1131,1164,886,1383,768
Men,2008,1135,1174,882,1374,795
Men,2009,1170,1207,887,1360,813
Men,2010,1157,1194,889,1315,787
Men,2011,1134,1166,890,1322,778
Men,2012,1139,1172,887,1407,789
Men,2013,1130,1162,873,1392,781
Men,2014,1125,1159,879,1395,796
Men,2015,1155,1187,877,1457,814
Men,2016,1166,1200,915,1466,845
Men,2017,1173,1211,885,1505,860
Men,2018,1184,1219,894,1510,876
Men,2019,1205,1239,920,1598,894
Men,2020,1276,1309,979,1706,940
Men,2021,1235,1267,929,1636,923
Men,2022,1202,1221,959,1624,924
Men,2023,1202,1225,970,1635,91